,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
0,LW,74.0,214,Abdelkader Justin,32,Injured
1,LW,71.0,196,Aberg Pontus,25,Injured
2,RW,69.0,171,Abramov Vitaly,21,Not Injured
3,C,70.0,205,Acciari Noel,27,Not Injured
4,LW,72.0,199,Agostino Kenny,27,Not Injured
5,LW,70.0,187,Agozzino Andrew,28,Not Injured
6,C,72.0,176,Aho Sebastian,21,Not Injured
7,D,73.0,179,Allard Frederic,21,Not Injured
8,G,74.0,203,Allen Jake,28,Not Injured
9,D,76.0,201,Alt Mark,27,Not Injured
10,D,75.0,219,Alzner Karl,30,Not Injured
11,C,73.0,205,Amadio Michael,23,Not Injured
12,D,74.0,205,Amorosa Terrance,24,Not Injured
13,G,76.0,230,Andersen Frederik,29,Injured
14,G,74.0,185,Anderson Craig,38,Injured
15,RW,71.0,190,Anderson Joey,21,Injured
16,RW,75.0,221,Anderson Josh,25,Not Injured
17,C,71.0,191,Anderson-Dolan Jaret,19,Not Injured
18,C,71.0,198,Andersson Lias,20,Not Injured
19,D,73.0,214,Andersson Rasmus,22,Not Injured
20,LW,73.0,203,Andreoff Andy,28,Not Injured
21,RW,70.0,188,Andrighetto Sven,26,Injured
22,C,77.0,210,Angello Anthony,23,Not Injured
23,C,76.0,198,Anisimov Artem,31,Injured
24,D,71.0,175,Antipin Victor,26,Not Injured
25,C,74.0,193,Appleton Mason,23,Not Injured
26,LW,71.0,176,Archambault Oliver,26,Not Injured
27,RW,75.0,212,Archibald Darren,29,Not Injured
28,RW,70.0,176,Archibald Josh,26,Injured
29,RW,76.0,210,Armia Joel,26,Injured
30,RW,69.0,180,Arvidsson Viktor,26,Injured
31,C,72.0,204,Aston-Reese Zachary,24,Not Injured
32,C,74.0,177,Athanasiou Andreas,24,Injured
33,RW,68.0,179,Atkinson Cam,30,Injured
34,RW,71.0,196,Aube-Kubel Nicolas,23,Not Injured
35,D,71.0,187,Auvitu Yohann,29,Not Injured
36,G,70.0,183,Bachman Richard,31,Not Injured
37,RW,75.0,215,Backes David,35,Injured
38,C,72.0,200,Backlund Mikael,30,Injured
39,C,73.0,210,Backstrom Nicklas,31,Not Injured
40,LW,71.0,190,Baertschi Sven,26,Injured
41,RW,73.0,212,Bailey Josh,29,Not Injured
42,RW,76.0,214,Bailey Justin,24,Not Injured
43,C,74.0,198,Bakos Martin,29,Not Injured
44,LW,71.0,175,Balcers Rudolfs,22,Not Injured
45,LW,71.0,185,Bancks Carter,29,Not Injured
46,RW,73.0,205,Baptiste Nicholas,23,Not Injured
47,C,72.0,187,Barbashev Ivan,23,Not Injured
48,D,73.0,200,Barberio Mark,29,Injured
49,C,75.0,213,Barkov Aleksander,23,Not Injured
50,C,70.0,165,Barre-Boulet Alex,22,Not Injured
51,D,70.0,190,Barrie Tyson,27,Injured
52,D,73.0,196,Bartkowski Matt,31,Not Injured
53,C,72.0,187,Barzal Mathew,22,Not Injured
54,RW,76.0,207,Bastian Nathan,21,Injured
55,RW,73.0,187,Batherson Drake,21,Not Injured
56,D,73.0,195,Bayreuther Gavin,25,Not Injured
57,C,75.0,210,Beagle Jay,33,Injured
58,D,73.0,173,Bean Jake,21,Not Injured
59,D,71.0,198,Bear Ethan,22,Not Injured
60,D,74.0,200,Beaulieu Nathan,26,Injured
61,LW,71.0,182,Beauvillier Anthony,22,Not Injured
62,LW,72.0,203,Beleskey Matt,31,Not Injured
63,C,72.0,198,Bellemare Pierre-Edouard,34,Not Injured
64,D,71.0,193,Belpedio Louie,23,Not Injured
65,D,71.0,172,Bengtsson Lukas,25,Not Injured
66,LW,74.0,205,Benn Jamie,29,Injured
67,D,74.0,199,Benn Jordie,31,Not Injured
68,C,73.0,195,Bennett Sam,23,Injured
69,D,73.0,203,Benning Matt,25,Injured
70,D,75.0,189,Benoit Simon,20,Not Injured
71,C,73.0,195,Bergeron Patrice,33,Injured
72,LW,76.0,219,Berglund Patrik,31,Injured
73,G,72.0,184,Bernier Jonathan,30,Injured
74,LW,72.0,190,Bertuzzi Tyler,24,Injured
75,G,73.0,176,Berube Jean-Francois,27,Not Injured
76,G,75.0,205,Bibeau Antoine,25,Not Injured
77,D,70.0,199,Biega Alex,31,Not Injured
78,D,73.0,197,Bieksa Kevin,38,Not Injured
79,G,73.0,174,Binnington Jordan,25,Not Injured
80,D,72.0,197,Bischoff Jake,24,Not Injured
81,G,79.0,215,Bishop Ben,32,Injured
82,C,73.0,199,Bishop Clark,23,Injured
83,D,73.0,210,Bitetto Anthony,28,Not Injured
84,LW,72.0,186,Bjork Anders,22,Not Injured
85,RW,72.0,177,Bjorkstrand Oliver,24,Not Injured
86,C,78.0,215,Bjugstad Nick,26,Injured
87,C,69.0,190,Blackwell Colin,26,Not Injured
88,G,76.0,225,Blackwood Mackenzie,22,Injured
89,LW,74.0,205,Blais Sammy,23,Injured
90,LW,72.0,182,Blandisi Joseph,24,Not Injured
91,LW,72.0,201,Blidh Anton,24,Not Injured
92,LW,72.0,185,Blueger Teddy,24,Not Injured
93,G,74.0,182,Bobrovsky Sergei,30,Injured
94,LW,72.0,210,Boedker Mikkel,29,Injured
95,G,75.0,225,Boes Corbin,25,Not Injured
96,RW,73.0,208,Boeser Brock,22,Injured
97,D,75.0,221,Bogosian Zach,28,Injured
98,RW,75.0,206,Boll Jared,33,Not Injured
99,C,73.0,196,Bonino Nick,31,Not Injured
100,LW,72.0,212,Booth David,34,Not Injured
101,D,74.0,199,Borgen Will,22,Not Injured
102,C,75.0,190,Borgstrom Henrik,21,Not Injured
103,D,73.0,207,Borowiecki Mark,29,Injured
104,D,76.0,216,Bortuzzo Robert,30,Injured
105,D,74.0,192,Bouchard Evan,19,Not Injured
106,LW,70.0,195,Boucher Reid,25,Not Injured
107,LW,70.0,170,Bourke Troy,25,Not Injured
108,LW,71.0,195,Bournival Michael,27,Not Injured
109,LW,70.0,206,Bourque Gabriel,28,Not Injured
110,G,75.0,187,Bouthillier Zachary,19,Not Injured
111,D,76.0,206,Bouwmeester Jay,35,Injured
112,G,76.0,210,Bow Landon,23,Not Injured
113,D,74.0,198,Bowey Madison,24,Not Injured
114,D,74.0,227,Boychuk Johnny,35,Injured
115,C,71.0,185,Boyd Travis,25,Injured
116,C,78.0,245,Boyle Brian,34,Injured
117,G,73.0,197,Boyle Kevin,27,Not Injured
118,C,73.0,199,Bozak Tyler,33,Injured
119,C,71.0,181,Bracco Jeremy,22,Not Injured
120,C,72.0,200,Bradley Matthew,22,Not Injured
121,D,70.0,179,Brannstrom Erik,19,Not Injured
122,C,73.0,202,Brassard Derick,31,Injured
123,C,73.0,207,Brassart Brady,26,Not Injured
124,LW,70.0,175,Bratt Jesper,20,Injured
125,D,74.0,205,Braun Justin,32,Injured
126,D,79.0,224,Breen Chris,30,Not Injured
127,RW,72.0,203,Brickley Connor,27,Not Injured
128,D,75.0,205,Brickley Daniel,24,Not Injured
129,D,74.0,175,Brisebois Guillaume,21,Injured
130,C,72.0,178,Broadhurst Alex,26,Not Injured
131,D,73.0,185,Brodie T.J.,29,Not Injured
132,D,73.0,198,Brodin Jonas,25,Not Injured
133,C,74.0,205,Brodziak Kyle,35,Not Injured
134,RW,73.0,208,Brodzinski Jonny,26,Injured
135,C,71.0,180,Brooks Adam,23,Not Injured
136,G,75.0,204,Brossoit Laurent,26,Injured
137,RW,75.0,213,Brouwer Troy,33,Not Injured
138,RW,72.0,183,Brown Connor,25,Not Injured
139,RW,72.0,210,Brown Dustin,34,Injured
140,RW,70.0,166,Brown J.T.,29,Not Injured
141,D,77.0,225,Brown Joshua,25,Not Injured
142,C,78.0,220,Brown Logan,21,Not Injured
143,C,73.0,210,Brown Patrick,27,Not Injured
144,D,77.0,225,Brown-DUP Josh,25,Not Injured
145,D,69.0,175,Bryson Jacob,21,Not Injured
146,RW,75.0,196,Buchnevich Pavel,24,Injured
147,G,73.0,196,Budaj Peter,36,Not Injured
148,LW,71.0,196,Bunting Michael,23,Not Injured
149,LW,75.0,201,Burakovsky Andre,24,Not Injured
150,D,73.0,207,Burgdoerfer Erik,30,Not Injured
151,D,77.0,230,Burns Brent,34,Not Injured
152,RW,73.0,197,Burrows Alexandre,38,Not Injured
153,D,70.0,190,Butcher Will,24,Injured
154,D,73.0,196,Butler Chris,32,Not Injured
155,D,77.0,4,Byfuglien Dustin,34,Injured
156,RW,69.0,163,Byron Paul,30,Injured
157,RW,74.0,190,Caamano Nicholas,20,Not Injured
158,C,70.0,176,Caggiula Drake,25,Injured
159,RW,72.0,200,Calderone Tony,20,Not Injured
160,RW,70.0,187,Callahan Ryan,34,Injured
161,LW,71.0,186,Calvert Matt,29,Not Injured
162,LW,69.0,185,Cammalleri Michael,37,Not Injured
163,G,74.0,197,Campbell Jack,27,Injured
164,G,73.0,205,Cannata Joe,29,Not Injured
165,D,73.0,196,Capobianco Kyle,21,Injured
166,C,73.0,200,Carey Paul,30,Not Injured
167,D,77.0,212,Carlo Brandon,22,Injured
168,D,75.0,218,Carlson John,29,Injured
169,D,77.0,192,Carlsson Gabriel,22,Not Injured
170,C,72.0,200,Carpenter Ryan,28,Injured
171,LW,72.0,191,Carr Daniel,27,Not Injured
172,D,71.0,192,Carrick Connor,25,Injured
173,C,72.0,188,Carrick Sam,25,Not Injured
174,D,71.0,174,Carrier Alexander,22,Not Injured
175,LW,74.0,212,Carrier William,24,Injured
176,C,75.0,219,Carter Jeff,34,Injured
177,C,73.0,200,Cave Colby,24,Not Injured
178,D,74.0,209,Ceci Cody,25,Injured
179,LW,74.0,202,Cehlarik Peter,23,Injured
180,D,76.0,225,Cernak Erik,22,Injured
181,D,74.0,196,Chabot Thomas,22,Injured
182,D,73.0,194,Chainey Jocktan,19,Not Injured
183,C,74.0,199,Chaput Michael,27,Not Injured
184,D,81.0,250,Chara Zdeno,42,Injured
185,C,71.0,190,Chartier Rourke,23,Not Injured
186,D,72.0,180,Chatfield Jalen,23,Not Injured
187,D,74.0,185,Chelios Jake,28,Not Injured
188,D,75.0,219,Chiarot Ben,28,Injured
189,RW,76.0,208,Chiasson Alex,28,Injured
190,RW,75.0,215,Chimera Jason,40,Not Injured
191,C,73.0,196,Chlapik Filip,22,Not Injured
192,D,73.0,165,Cholowski Dennis,21,Injured
193,D,72.0,193,Chorney Taylor,32,Not Injured
194,D,74.0,210,Chychrun Jakob,21,Injured
195,C,74.0,208,Chytil Filip,19,Not Injured
196,C,72.0,180,Cirelli Anthony,21,Not Injured
197,C,71.0,195,Cizikas Casey,28,Injured
198,D,73.0,196,Claesson Fredrik,26,Injured
199,LW,70.0,180,Clark Emerson,26,Not Injured
200,D,72.0,196,Clendening Adam,26,Not Injured
201,LW,74.0,211,Clifford Kyle,28,Injured
202,D,71.0,175,Clifton Connor,24,Not Injured
203,LW,70.0,207,Clune Richard,32,Not Injured
204,RW,71.0,216,Clutterbuck Cal,31,Injured
205,D,77.0,223,Coburn Braydon,34,Injured
206,C,70.0,177,Cogliano Andrew,32,Injured
207,D,73.0,219,Cole Ian,30,Injured
208,C,71.0,200,Coleman Blake,27,Injured
209,LW,72.0,190,Colton Ross,22,Not Injured
210,LW,73.0,200,Comeau Blake,33,Injured
211,LW,72.0,193,Compher J.T.,24,Injured
212,G,73.0,180,Comrie Eric,23,Not Injured
213,LW,74.0,205,Comtois Maxime,20,Injured
214,C,68.0,180,Conacher Cory,29,Not Injured
215,G,74.0,197,Condon Mike,29,Not Injured
216,RW,71.0,188,Condra Erik,32,Not Injured
217,D,74.0,205,Connauton Kevin,29,Injured
218,RW,75.0,195,Connolly Brett,27,Not Injured
219,LW,73.0,182,Connor Kyle,22,Not Injured
220,D,70.0,196,Cooper Brian,25,Not Injured
221,G,76.0,200,Copley Pheonix,27,Not Injured
222,C,73.0,206,Copp Andrew,24,Injured
223,G,78.0,220,Coreau Jared,27,Not Injured
224,C,74.0,198,Cornel Eric,23,Not Injured
225,C,71.0,185,Cousins Nick,25,Not Injured
226,C,73.0,200,Couture Logan,30,Not Injured
227,C,75.0,211,Couturier Sean,26,Injured
228,C,75.0,200,Coyle Charlie,27,Not Injured
229,RW,74.0,218,Cracknell Adam,33,Not Injured
230,C,72.0,192,Cramarossa Joseph,26,Not Injured
231,G,74.0,216,Crawford Corey,34,Injured
232,C,71.0,200,Crosby Sidney,31,Injured
233,D,75.0,205,Cross Tommy,29,Not Injured
234,LW,76.0,220,Crouse Lawson,22,Not Injured
235,C,73.0,202,Cullen Matt,42,Injured
236,RW,70.0,172,Currie Josh,26,Not Injured
237,C,69.0,170,Czarnik Austin,26,Not Injured
238,G,74.0,209,D'Orio Alex,20,Not Injured
239,G,75.0,205,Daccord Joey,22,Not Injured
240,RW,71.0,185,Dadonov Evgenii,30,Not Injured
241,C,71.0,176,Dahlen Jonathan,21,Not Injured
242,D,75.0,186,Dahlin Rasmus,19,Not Injured
243,D,76.0,231,Dahlstrom Carl,24,Not Injured
244,LW,75.0,204,Dal Colle Michael,23,Not Injured
245,D,71.0,195,Daley Trevor,35,Injured
246,C,74.0,194,Dalpe Zac,29,Not Injured
247,C,73.0,198,Danault Phillip,26,Not Injured
248,C,71.0,212,Dano Marko,24,Not Injured
249,G,74.0,187,Dansk Oscar,25,Not Injured
250,G,78.0,232,Darling Scott,30,Injured
251,C,73.0,180,Dauphin Laurent,24,Not Injured
252,D,74.0,208,Davidson Brandon,27,Injured
253,D,71.0,180,Davies Jeremy,22,Not Injured
254,D,73.0,195,de Haan Calvin,28,Injured
255,C,75.0,210,de la Rose Jacob,24,Not Injured
256,C,70.0,185,De Leo Chase,23,Not Injured
257,C,71.0,175,Dea Jean-Sebastien,25,Not Injured
258,D,71.0,180,DeAngelo Anthony,23,Not Injured
259,LW,67.0,165,DeBrincat Alex,21,Not Injured
260,LW,72.0,188,DeBrusk Jake,22,Injured
261,D,75.0,192,DeKeyser Danny,29,Injured
262,D,72.0,201,Del Zotto Michael,29,Not Injured
263,G,74.0,208,Delia Collin,25,Not Injured
264,G,72.0,205,Dell Aaron,30,Not Injured
265,D,73.0,195,DeMelo Dylan,26,Injured
266,D,73.0,195,Demers Jason,31,Injured
267,G,76.0,192,Demko Thatcher,23,Injured
268,D,72.0,204,Dermott Travis,22,Injured
269,RW,68.0,172,DeSalvo Dan,27,Not Injured
270,D,74.0,185,DeSimone Nick,24,Not Injured
271,LW,73.0,221,Deslauriers Nicolas,28,Injured
272,G,72.0,181,DeSmith Casey,27,Not Injured
273,D,76.0,214,Despres Simon,27,Not Injured
274,G,73.0,200,Desrosiers Philippe,23,Not Injured
275,RW,72.0,200,Di Giuseppe Phillip,25,Not Injured
276,C,71.0,188,Di Pauli Thomas,25,Not Injured
277,C,74.0,200,Dickinson Jason,24,Injured
278,D,76.0,225,Dillon Brenden,28,Not Injured
279,G,72.0,192,DiPietro Michael,20,Not Injured
280,D,72.0,198,Dirk Jagger,26,Not Injured
281,D,72.0,169,Djoos Christian,24,Injured
282,C,70.0,193,Domi Max,24,Not Injured
283,G,75.0,210,Domingue Louis,27,Injured
284,C,72.0,193,Donato Ryan,23,Not Injured
285,D,73.0,205,Donovan Matt,29,Not Injured
286,RW,72.0,190,Donskoi Joonas,27,Not Injured
287,G,73.0,165,Dostal Lukas,19,Not Injured
288,C,70.0,172,Dostie Alex,22,Not Injured
289,D,75.0,210,Dotchin Jake,25,Not Injured
290,D,73.0,185,Dougherty Jack,23,Not Injured
291,D,73.0,202,Doughty Drew,29,Not Injured
292,C,74.0,197,Dowd Nic,29,Not Injured
293,C,70.0,180,Dowling Justin,28,Injured
294,C,74.0,208,Draisaitl Leon,23,Not Injured
295,D,73.0,190,Drew Hunter,20,Not Injured
296,C,69.0,185,Dries Sheldon,25,Not Injured
297,LW,72.0,193,Drouin Jonathan,24,Not Injured
298,LW,70.0,183,Dube Dillon,20,Injured
299,C,74.0,205,Dubinsky Brandon,33,Injured
300,G,78.0,224,Dubnyk Devan,33,Not Injured
301,C,75.0,207,Dubois Pierre-Luc,21,Not Injured
302,RW,72.0,179,Ducharme Justin,19,Not Injured
303,C,71.0,195,Duchene Matt,28,Injured
304,LW,71.0,191,Duclair Anthony,23,Not Injured
305,D,72.0,182,Dumba Mathew,24,Not Injured
306,D,76.0,207,Dumoulin Brian,27,Injured
307,D,72.0,203,Dunn Vince,22,Injured
308,D,72.0,189,Durzi Sean,20,Not Injured
309,C,72.0,195,Dvorak Christian,23,Injured
310,LW,72.0,190,Dzingel Ryan,27,Injured
311,C,72.0,190,Eakin Cody,28,Injured
312,RW,71.0,203,Eaves Patrick,35,Injured
313,RW,71.0,187,Eberle Jordan,29,Injured
314,D,75.0,212,Edler Alexander,33,Injured
315,D,76.0,215,Edmundson Joel,26,Injured
316,LW,72.0,172,Ehlers Nikolaj,23,Injured
317,C,74.0,193,Ehn Christoffer,23,Not Injured
318,C,74.0,206,Eichel Jack,22,Injured
319,D,76.0,220,Ekblad Aaron,23,Not Injured
320,D,76.0,215,Ekholm Mattias,29,Not Injured
321,D,74.0,200,Ekman-Larsson Oliver,27,Injured
322,LW,73.0,215,Elie Remi,24,Not Injured
323,C,74.0,207,Eller Lars,30,Injured
324,G,74.0,209,Elliott Brian,34,Injured
325,D,73.0,190,Elliott Stefan,28,Not Injured
326,D,70.0,180,Ellis Ryan,28,Not Injured
327,C,78.0,194,Elynuik Hudson,21,Not Injured
328,D,74.0,218,Emelin Alexei,33,Not Injured
329,D,74.0,214,Engelland Deryk,37,Injured
330,D,75.0,189,Englund Andreas,23,Not Injured
331,LW,69.0,161,Ennis Tyler,29,Injured
332,D,70.0,180,Enstrom Toby,34,Not Injured
333,D,76.0,220,Ericsson Jonathan,35,Injured
334,LW,74.0,179,Eriksson Loui,33,Not Injured
335,C,73.0,208,Eriksson Ek Joel,22,Injured
336,G,73.0,180,Eriksson Ek Olle,20,Not Injured
337,LW,73.0,214,Erne Adam,24,Injured
338,C,72.0,196,Estephan Giorgio,22,Not Injured
339,RW,73.0,212,Etem Emerson,27,Not Injured
340,LW,70.0,190,Fabbri Robby,23,Injured
341,D,73.0,193,Fabbro Dante,21,Not Injured
342,C,75.0,220,Faksa Radek,25,Injured
343,D,77.0,224,Falk Justin,30,Injured
344,D,72.0,206,Fantenberg Oscar,27,Injured
345,RW,75.0,205,Fasching Hudson,23,Not Injured
346,RW,73.0,192,Fast Jesper,27,Injured
347,D,72.0,217,Faulk Justin,27,Not Injured
348,G,73.0,189,Fazio Justin,22,Not Injured
349,D,73.0,201,Fedun Taylor,31,Not Injured
350,C,76.0,209,Fehr Eric,33,Not Injured
351,LW,72.0,194,Ferguson Brady,24,Not Injured
352,G,73.0,192,Ferguson Dylan,20,Not Injured
353,LW,73.0,217,Ferland Micheal,27,Injured
354,LW,70.0,193,Fiala Kevin,22,Not Injured
355,C,72.0,196,Filppula Valtteri,35,Injured
356,RW,74.0,214,Fischer Christian,22,Not Injured
357,C,69.0,172,Fitzgerald Ryan,24,Not Injured
358,G,75.0,206,Fitzpatrick Evan,21,Not Injured
359,D,75.0,221,Fleury Haydn,22,Injured
360,G,74.0,180,Fleury Marc-Andre,34,Injured
361,D,73.0,163,Flower Walter,20,Not Injured
362,LW,73.0,183,Flynn Brian,30,Not Injured
363,LW,74.0,198,Foegele Warren,23,Not Injured
364,RW,75.0,212,Fogarty Steven,26,Not Injured
365,LW,72.0,185,Foley Erik,22,Not Injured
366,LW,75.0,228,Foligno Marcus,27,Not Injured
367,LW,72.0,202,Foligno Nick,31,Not Injured
368,D,75.0,204,Folin Christian,28,Not Injured
369,RW,72.0,185,Foo Spencer,25,Not Injured
370,D,75.0,209,Foote Callan,20,Not Injured
371,LW,75.0,187,Foote Nolan,18,Not Injured
372,D,76.0,216,Forbort Derek,27,Not Injured
373,LW,74.0,174,Formenton Alex,19,Injured
374,D,74.0,200,Forney Chris,24,Not Injured
375,C,73.0,184,Forsbacka Karlsson Jakob,22,Not Injured
376,G,75.0,192,Forsberg Anton,26,Not Injured
377,LW,73.0,205,Forsberg Filip,24,Injured
378,D,72.0,186,Forsling Gustav,23,Injured
379,C,72.0,172,Fortin Alexandre,22,Not Injured
380,D,74.0,206,Fowler Cam,27,Injured
381,G,72.0,179,Francouz Pavel,29,Not Injured
382,D,74.0,192,Fraser Cole,20,Not Injured
383,C,74.0,203,Frederic Trent,21,Not Injured
384,D,70.0,192,Friedman Mark,23,Not Injured
385,C,71.0,192,Fritz Tanner,27,Injured
386,RW,73.0,205,Frk Martin,25,Not Injured
387,C,73.0,202,Froese Byron,28,Not Injured
388,RW,73.0,190,Frolik Michael,31,Injured
389,G,75.0,183,Fulcher Kaden,20,Not Injured
390,LW,73.0,205,Gaborik Marian,37,Injured
391,RW,76.0,212,Gabriel Kurtis,26,Injured
392,LW,71.0,204,Gabrielle Jesse,22,Not Injured
393,LW,74.0,201,Gadjovich Jonah,20,Not Injured
394,LW,71.0,200,Gagner Sam,29,Not Injured
395,C,73.0,207,Galchenyuk Alex,25,Injured
396,RW,69.0,184,Gallagher Brendan,27,Not Injured
397,C,73.0,185,Gallant Zachary,20,Not Injured
398,C,70.0,196,Gambardella Joe,25,Not Injured
399,C,72.0,195,Gambrell Dylan,22,Not Injured
400,D,74.0,203,Gardiner Jake,29,Injured
401,RW,70.0,165,Garland Conor,23,Not Injured
402,D,73.0,218,Garrison Jason,34,Not Injured
403,C,75.0,205,Gaudet Tyler,26,Not Injured
404,LW,73.0,184,Gaudette Adam,22,Not Injured
405,C,72.0,179,Gaudreau Frederick,26,Not Injured
406,LW,69.0,165,Gaudreau Johnny,25,Not Injured
407,C,74.0,217,Gaunce Brendan,25,Not Injured
408,D,73.0,210,Gaunce Cameron,29,Not Injured
409,C,77.0,235,Gauthier Frederik,24,Injured
410,D,75.0,205,Gavrikov Vladislav,23,Not Injured
411,C,73.0,191,Gawdin Glenn,22,Not Injured
412,G,73.0,179,Georgiev Alexandar,23,Not Injured
413,LW,64.0,176,Gerbe Nathan,31,Not Injured
414,C,71.0,175,Gersich Shane,22,Not Injured
415,LW,78.0,221,Gettinger Tim,21,Not Injured
416,C,76.0,225,Getzlaf Ryan,34,Injured
417,C,68.0,175,Gibbons Brian,31,Injured
418,G,73.0,205,Gibson Christopher,26,Not Injured
419,G,74.0,206,Gibson John,25,Injured
420,C,71.0,172,Gignac Brandon,21,Not Injured
421,D,74.0,199,Gilbert Dennis,22,Not Injured
422,G,77.0,216,Gillies Jon,25,Not Injured
423,C,70.0,170,Gilmour Brady,20,Not Injured
424,D,72.0,195,Gilmour John,26,Not Injured
425,RW,67.0,178,Gionta Brian,40,Not Injured
426,C,66.0,177,Gionta Stephen,35,Not Injured
427,D,73.0,200,Giordano Mark,35,Not Injured
428,D,70.0,162,Girard Samuel,21,Not Injured
429,D,73.0,212,Girardi Dan,35,Injured
430,LW,74.0,207,Girgensons Zemgus,25,Injured
431,C,71.0,185,Giroux Claude,31,Not Injured
432,LW,73.0,213,Glass Tanner,35,Not Injured
433,D,73.0,180,Gleason Ben,21,Not Injured
434,C,71.0,192,Glendening Luke,30,Not Injured
435,C,70.0,175,Glotov Vasily,21,Not Injured
436,RW,72.0,165,Gogolev Pavel,19,Not Injured
437,LW,71.0,196,Goldobin Nikolay,23,Not Injured
438,D,71.0,185,Goligoski Alex,33,Injured
439,LW,70.0,160,Golod Maxim,18,Not Injured
440,D,73.0,200,Goloubef Cody,29,Not Injured
441,RW,74.0,215,Goodrow Barclay,26,Not Injured
442,D,79.0,227,Gordeev Fedor,20,Not Injured
443,D,73.0,204,Gorges Josh,34,Not Injured
444,D,71.0,180,Gostisbehere Shayne,26,Injured
445,LW,72.0,199,Goulbourne Tyrell,25,Not Injured
446,C,69.0,172,Gourde Yanni,27,Not Injured
447,RW,73.0,188,Grabner Michael,31,Injured
448,C,71.0,186,Grabovski Mikhail,35,Not Injured
449,D,72.0,176,Graham Jesse,25,Not Injured
450,C,72.0,180,Granlund Markus,26,Not Injured
451,RW,70.0,185,Granlund Mikael,27,Not Injured
452,C,75.0,215,Grant Derek,29,Injured
453,C,77.0,208,Graovac Tyler,26,Not Injured
